id,from_time,to_time,from_price,to_price,pct_change,direction
binancecoin,2025-12-08 13:01:50.729,2025-12-11 15:02:25.306,908.3771,861.8652,-5.12,DOWN
bitcoin,2025-12-09 16:07:42.084,2025-12-14 23:01:45.862,93103.9863,88291.2742,-5.17,DOWN
bitcoin-cash,2025-12-08 12:02:10.179,2025-12-10 04:01:16.474,594.5937,561.4191,-5.58,DOWN
bitcoin-cash,2025-12-11 03:02:03.091,2025-12-12 03:01:38.778,555.1427,582.9892,5.02,UP
cardano,2025-12-08 12:01:31.563,2025-12-09 16:00:30.619,0.4308,0.4674,8.49,UP
cardano,2025-12-09 16:00:30.619,2025-12-11 02:02:36.119,0.4674,0.4396,-5.94,DOWN
cardano,2025-12-11 02:02:36.119,2025-12-11 13:01:57.028,0.4396,0.4169,-5.17,DOWN
cardano,2025-12-11 13:01:57.028,2025-12-14 22:00:11.468,0.4169,0.3953,-5.18,DOWN
dogecoin,2025-12-08 12:01:35.686,2025-12-09 17:03:01.048,0.1432,0.1516,5.91,UP
dogecoin,2025-12-09 17:03:01.048,2025-12-11 00:02:09.461,0.1516,0.1434,-5.4,DOWN
dogecoin,2025-12-11 00:02:09.461,2025-12-12 16:02:51.577,0.1434,0.1362,-5.04,DOWN
ethereum,2025-12-08 12:01:44.521,2025-12-09 17:02:23.934,3140.3495,3366.1206,7.19,UP
ethereum,2025-12-09 17:02:23.934,2025-12-11 04:01:52.623,3366.1206,3188.97,-5.26,DOWN
ethereum,2025-12-11 22:03:45.009,2025-12-12 16:00:59.793,3252.9515,3070.4271,-5.61,DOWN
ripple,2025-12-08 12:01:30.500,2025-12-12 17:01:16.042,2.0907,1.9853,-5.04,DOWN
solana,2025-12-08 12:01:44.532,2025-12-11 03:02:41.474,138.4348,130.7821,-5.53,DOWN
solana,2025-12-11 03:02:41.474,2025-12-12 06:01:00.571,130.7821,138.2374,5.7,UP
solana,2025-12-12 06:01:00.571,2025-12-12 20:02:00.898,138.2374,131.1458,-5.13,DOWN
staked-ether,2025-12-08 12:01:29.426,2025-12-09 17:01:53.774,3139.4607,3361.5621,7.07,UP
staked-ether,2025-12-09 17:01:53.774,2025-12-11 04:01:19.326,3361.5621,3189.5442,-5.12,DOWN
staked-ether,2025-12-11 22:03:03.213,2025-12-12 16:02:09.176,3250.2344,3072.9819,-5.45,DOWN
tron,2025-12-08 12:01:32.628,2025-12-13 18:01:44.243,0.2863,0.2717,-5.1,DOWN
whitebit,2025-12-09 05:01:37.739,2025-12-10 20:01:29.396,60.5992,63.6875,5.1,UP
whitebit,2025-12-10 20:01:29.396,2025-12-12 16:03:51.699,63.6875,60.3326,-5.27,DOWN
wrapped-steth,2025-12-08 12:01:21.415,2025-12-09 17:03:42.819,3836.4566,4108.6605,7.1,UP
wrapped-steth,2025-12-09 17:03:42.819,2025-12-11 04:00:31.932,4108.6605,3897.3127,-5.14,DOWN
wrapped-steth,2025-12-11 22:00:51.182,2025-12-12 16:03:00.952,3974.4064,3754.5264,-5.53,DOWN
