id,from_time,to_time,from_price,to_price,pct_change,direction
binancecoin,2025-12-08 10:01:35.959,2025-12-11 15:02:25.306,910.1452,861.8652,-5.3,DOWN
bitcoin,2025-12-09 16:07:42.084,2025-12-14 23:01:45.862,93103.9863,88291.2742,-5.17,DOWN
dogecoin,2025-12-08 10:01:06.923,2025-12-09 17:03:01.048,0.1438,0.1516,5.43,UP
dogecoin,2025-12-09 17:03:01.048,2025-12-11 00:02:09.461,0.1516,0.1434,-5.4,DOWN
dogecoin,2025-12-11 00:02:09.461,2025-12-12 16:02:51.577,0.1434,0.1362,-5.04,DOWN
ethereum,2025-12-08 10:01:46.242,2025-12-09 17:02:23.934,3156.8138,3366.1206,6.63,UP
ethereum,2025-12-09 17:02:23.934,2025-12-11 04:01:52.623,3366.1206,3188.97,-5.26,DOWN
ethereum,2025-12-11 22:03:45.009,2025-12-12 16:00:59.793,3252.9515,3070.4271,-5.61,DOWN
ripple,2025-12-08 10:01:39.810,2025-12-11 15:01:43.548,2.1002,1.9913,-5.19,DOWN
solana,2025-12-08 10:01:44.557,2025-12-11 03:02:41.474,138.0083,130.7821,-5.24,DOWN
solana,2025-12-11 03:02:41.474,2025-12-12 06:01:00.571,130.7821,138.2374,5.7,UP
solana,2025-12-12 06:01:00.571,2025-12-12 20:02:00.898,138.2374,131.1458,-5.13,DOWN
staked-ether,2025-12-08 10:01:53.860,2025-12-09 17:01:53.774,3155.6425,3361.5621,6.53,UP
staked-ether,2025-12-09 17:01:53.774,2025-12-11 04:01:19.326,3361.5621,3189.5442,-5.12,DOWN
staked-ether,2025-12-11 22:03:03.213,2025-12-12 16:02:09.176,3250.2344,3072.9819,-5.45,DOWN
tron,2025-12-08 10:01:38.069,2025-12-13 13:01:24.870,0.2866,0.2722,-5.03,DOWN
