id,pct_change,sentiment,title,subtitle,body,url,date_s,date
bitcoin,-5.17,POSITIVE,"These Three Metrics Show Bitcoin Found Strong Support Near $80,000","Onchain data shows multiple cost basis metrics confirm heavy demand and investor conviction around the $80,000 price level.","Onchain data shows multiple cost basis metrics confirm heavy demand and investor conviction around the $80,000 price level.",https://www.coindesk.com/markets/2025/12/12/these-three-metrics-show-bitcoin-found-strong-support-near-usd80-000,1765652400,2025-12-13 19:00:00
bitcoin,-5.17,NEGATIVE,Bitcoin Drops Below $90K Amid Fading Risk Appetite Ahead of Key Macro Events,"Bitcoin dipped below $90,000 on Sunday as low liquidity, altcoin weakness and imminent U.S. and global data releases kept traders cautious.","Bitcoin dipped below $90,000 on Sunday as low liquidity, altcoin weakness and imminent U.S. and global data releases kept traders cautious.",https://www.coindesk.com/markets/2025/12/14/bitcoin-dips-below-usd90k-amid-fading-risk-appetite-ahead-of-key-macro-events,1765720218,2025-12-14 13:50:18
dogecoin,-5.4,NEUTRAL,Dogecoin Holds $0.14 Floor as Network Activity Hits 3-Month High,"Rising active addresses and tightening volatility indicate an impending directional move, with $0.16 as a critical breakout threshold.","Rising active addresses and tightening volatility indicate an impending directional move, with $0.16 as a critical breakout threshold.",https://www.coindesk.com/markets/2025/12/09/dogecoin-holds-usd0-14-floor-as-network-activity-hits-3-month-high,1765254591,2025-12-09 04:29:51
dogecoin,-5.4,POSITIVE,"Dogecoin Surges as Ether Zooms 8%, Sparking Bullish Reversal For Memecoins",The breakout now sets up a clean continuation zone—provided bulls defend the mid-range pivot they just reclaimed.,The breakout now sets up a clean continuation zone—provided bulls defend the mid-range pivot they just reclaimed.,https://www.coindesk.com/markets/2025/12/10/dogecoin-surges-as-ether-zooms-8-sparking-bullish-reversal-for-memecoins,1765308467,2025-12-09 19:27:47
dogecoin,-5.04,NEGATIVE,"Ether, Dogecoin, Solana Slide as Bitcoin Fails to Sustain Early-Week Breakout","The pullback followed Tuesdays brief spike above $94,500, a move that triggered a minor short squeeze but failed to break the resistance that has capped bitcoin for most of the past three weeks.","The pullback followed Tuesdays brief spike above $94,500, a move that triggered a minor short squeeze but failed to break the resistance that has capped bitcoin for most of the past three weeks.",https://www.coindesk.com/markets/2025/12/11/ether-dogecoin-solana-slide-as-bitcoin-fails-to-sustain-early-week-breakout,1765436621,2025-12-11 07:03:41
dogecoin,-5.04,NEUTRAL,Dogecoin Hovers Near Key Support as Fed Easing Fails to Spark Risk Rally,"Despite elevated trading activity, Dogecoin faces resistance near $0.1425, and its future movement is likely dependent on broader market sentiment.","Despite elevated trading activity, Dogecoin faces resistance near $0.1425, and its future movement is likely dependent on broader market sentiment.",https://www.coindesk.com/markets/2025/12/12/dogecoin-hovers-near-key-support-as-fed-easing-fails-to-spark-risk-rally,1765518324,2025-12-12 05:45:24
dogecoin,5.43,NEUTRAL,Dogecoin Activity Hits 3-Month High but DOGE Price Action Remains Range-Bound,"DOGE network engagement surged to 71,589 active addresses — its highest reading since September — signaling improving chain activity despite muted price performance.","DOGE network engagement surged to 71,589 active addresses — its highest reading since September — signaling improving chain activity despite muted price performance.",https://www.coindesk.com/markets/2025/12/07/dogecoin-activity-hits-3-month-high-but-doge-price-action-remains-range-bound,1765112335,2025-12-07 12:58:55
dogecoin,5.43,NEUTRAL,Dogecoin Holds $0.14 Floor as Network Activity Hits 3-Month High,"Rising active addresses and tightening volatility indicate an impending directional move, with $0.16 as a critical breakout threshold.","Rising active addresses and tightening volatility indicate an impending directional move, with $0.16 as a critical breakout threshold.",https://www.coindesk.com/markets/2025/12/09/dogecoin-holds-usd0-14-floor-as-network-activity-hits-3-month-high,1765254591,2025-12-09 04:29:51
ethereum,-5.61,POSITIVE,"XRP Lands on Solana, Ethereum and Others, in Boost for Ripple Ecosystem","Wrapped XRP will be tradable on Solana, Ethereum and other chains, allowing exposure across DeFi applications without unregulated third-party bridges.","Wrapped XRP will be tradable on Solana, Ethereum and other chains, allowing exposure across DeFi applications without unregulated third-party bridges.",https://www.coindesk.com/markets/2025/12/12/xrp-lands-on-solana-ethereum-and-others-in-boost-for-ripple-ecosystem,1765514700,2025-12-12 04:45:00
ethereum,-5.61,POSITIVE,"Backed, Chainlink Unveil xBridge to Move Tokenized Stocks Between Solana and Ethereum","The bridge uses Chainlinks CCIP to ensure consistent behavior across chains, mirroring the behavior of underlying assets.","The bridge uses Chainlinks CCIP to ensure consistent behavior across chains, mirroring the behavior of underlying assets.",https://www.coindesk.com/web3/2025/12/12/backed-chainlink-launch-xbridge-to-move-tokenized-stocks-between-solana-and-ethereum,1765551600,2025-12-12 15:00:00
ethereum,-5.26,NEUTRAL,Breakout or Bull Trap? DOGE Jumps Above Resistance on Ethereum Strength,"Despite the breakout, DOGE faces significant structural resistance from major EMAs.","Despite the breakout, DOGE faces significant structural resistance from major EMAs.",https://www.coindesk.com/markets/2025/12/10/breakout-or-bull-trap-doge-jumps-above-resistance-on-ethereum-strength,1765345199,2025-12-10 05:39:59
ethereum,-5.26,POSITIVE,"Superstate Rolls Out Direct Stock Issuance for Public Companies on Ethereum, Solana","SEC-registered firms can sell shares directly on blockchain rails to investors, raising funds in stablecoins.","SEC-registered firms can sell shares directly on blockchain rails to investors, raising funds in stablecoins.",https://www.coindesk.com/business/2025/12/10/superstate-rolls-out-direct-stock-issuance-for-public-companies-on-ethereum-solana,1765371600,2025-12-10 13:00:00
ethereum,6.63,POSITIVE,BlackRock Files for Staked Ethereum ETF,"The iShares Ethereum Staking Trust marks a bold push into on-chain yield exposure, as the SECs tone has shifted under new leadership.","The iShares Ethereum Staking Trust marks a bold push into on-chain yield exposure, as the SECs tone has shifted under new leadership.",https://www.coindesk.com/markets/2025/12/08/blackrock-files-for-staked-ethereum-etf-aiming-to-bring-yield-to-the-masses,1765202062,2025-12-08 13:54:22
ethereum,6.63,POSITIVE,Ethereum’s P2P Layer Is Improving Just as Institutional ETH Buys Pick Up,Early PeerDAS performance is proof that the Ethereum Foundation can now ship complex networking improvements at scale.,Early PeerDAS performance is proof that the Ethereum Foundation can now ship complex networking improvements at scale.,https://www.coindesk.com/markets/2025/12/09/ethereum-s-p2p-layer-is-improving-just-as-institutional-eth-buys-pick-up,1765287000,2025-12-09 13:30:00
ripple,-5.19,NEUTRAL,"Wall Street Saw Ripple as 90% XRP — Offered $500M, but With Safety Net: Bloomberg","Multiple investors concluded that at least 90% of Ripple’s net asset value was tied to XRP, the closely-linked token that maintains distance from the company legally.","Multiple investors concluded that at least 90% of Ripple’s net asset value was tied to XRP, the closely-linked token that maintains distance from the company legally.",https://www.coindesk.com/markets/2025/12/08/wall-street-saw-ripple-as-90-xrp-then-offered-usd500m-with-a-safety-net,1765200760,2025-12-08 13:32:40
